ENSG00000147443.11	DOK2
ENSG00000100368.12	CSF2RB
ENSG00000158714.9	SLAMF8
ENSG00000110324.8	IL10RA
ENSG00000143119.11	CD53
ENSG00000110876.9	SELPLG
ENSG00000182326.13	C1S
ENSG00000162739.12	SLAMF6
ENSG00000115919.13	KYNU
ENSG00000154589.5	LY96
ENSG00000128340.13	RAC2
ENSG00000026751.15	SLAMF7
ENSG00000123338.11	NCKAP1L
ENSG00000167208.13	SNX20
ENSG00000198624.11	CCDC69
ENSG00000134516.14	DOCK2
ENSG00000076662.8	ICAM3
ENSG00000131042.12	LILRB2
ENSG00000081237.17	PTPRC
ENSG00000100055.19	CYTH4
ENSG00000180353.9	HCLS1
ENSG00000156127.6	BATF
ENSG00000137752.21	CASP1
ENSG00000184922.12	FMNL1
ENSG00000187688.13	TRPV2
ENSG00000204397.6	CARD16
ENSG00000178562.16	CD28
ENSG00000269609.4	RPARP-AS1
ENSG00000177842.10	ZNF620
ENSG00000122122.9	SASH3
ENSG00000010610.8	CD4
ENSG00000072786.11	STK10
ENSG00000178860.8	MSC
ENSG00000280721.1	LINC01943
ENSG00000139278.8	GLIPR1
ENSG00000015285.9	WAS
ENSG00000102359.5	SRPX2
ENSG00000143851.14	PTPN7
ENSG00000070190.11	DAPP1
ENSG00000136167.12	LCP1
ENSG00000161638.9	ITGA5
ENSG00000130755.11	GMFG
ENSG00000149781.11	FERMT3
ENSG00000028137.15	TNFRSF1B
ENSG00000178033.5	CALHM5
ENSG00000025708.11	TYMP
ENSG00000159403.14	C1R
ENSG00000170500.11	LONRF2
ENSG00000168685.13	IL7R
ENSG00000147168.11	IL2RG
ENSG00000178467.16	P4HTM
ENSG00000163466.14	ARPC2
ENSG00000115165.8	CYTIP
ENSG00000165474.5	GJB2
ENSG00000120949.13	TNFRSF8
ENSG00000162511.7	LAPTM5
ENSG00000115884.9	SDC1
ENSG00000136828.17	RALGPS1
ENSG00000100105.16	PATZ1
ENSG00000116701.13	NCF2
ENSG00000154451.13	GBP5
ENSG00000163219.10	ARHGAP25
ENSG00000077984.5	CST7
ENSG00000075884.11	ARHGAP15
ENSG00000256633.1	PDE2A-AS2
ENSG00000166741.6	NNMT
ENSG00000180644.6	PRF1
ENSG00000119714.9	GPR68
ENSG00000230510.5	PPP5D1
ENSG00000163154.5	TNFAIP8L2
ENSG00000185905.3	C16orf54
ENSG00000167286.8	CD3D
ENSG00000155307.16	SAMSN1
ENSG00000100365.13	NCF4
ENSG00000103522.14	IL21R
ENSG00000261371.4	PECAM1
ENSG00000103196.10	CRISPLD2
ENSG00000203288.3	TDRKH-AS1
ENSG00000160593.16	JAML
ENSG00000186517.12	ARHGAP30
ENSG00000172349.15	IL16
ENSG00000267221.1	C17orf113
ENSG00000114013.14	CD86
ENSG00000273344.1	PAXIP1-AS1
ENSG00000165113.11	GKAP1
ENSG00000043462.10	LCP2
ENSG00000135439.10	AGAP2
ENSG00000275367.1	AC092111.1
ENSG00000115935.15	WIPF1
ENSG00000096996.14	IL12RB1
ENSG00000267254.4	ZNF790-AS1
ENSG00000009790.13	TRAF3IP3
ENSG00000110934.9	BIN2
ENSG00000135108.13	FBXO21
ENSG00000247774.5	PCED1B-AS1
ENSG00000005189.18	REXO5
ENSG00000183876.8	ARSI
ENSG00000251601.1	AC022441.2
ENSG00000079263.17	SP140
ENSG00000171310.9	CHST11
