ENSG00000147443.11	DOK2
ENSG00000100368.12	CSF2RB
ENSG00000158714.9	SLAMF8
ENSG00000110324.8	IL10RA
ENSG00000143119.11	CD53
ENSG00000110876.9	SELPLG
ENSG00000182326.13	C1S
ENSG00000162739.12	SLAMF6
ENSG00000115919.13	KYNU
ENSG00000154589.5	LY96
ENSG00000128340.13	RAC2
ENSG00000026751.15	SLAMF7
ENSG00000123338.11	NCKAP1L
ENSG00000167208.13	SNX20
ENSG00000198624.11	CCDC69
ENSG00000134516.14	DOCK2
ENSG00000076662.8	ICAM3
ENSG00000131042.12	LILRB2
ENSG00000081237.17	PTPRC
ENSG00000100055.19	CYTH4
ENSG00000180353.9	HCLS1
ENSG00000156127.6	BATF
ENSG00000137752.21	CASP1
ENSG00000184922.12	FMNL1
ENSG00000187688.13	TRPV2
ENSG00000204397.6	CARD16
ENSG00000178562.16	CD28
ENSG00000269609.4	RPARP-AS1
ENSG00000177842.10	ZNF620
ENSG00000122122.9	SASH3
ENSG00000010610.8	CD4
ENSG00000072786.11	STK10
ENSG00000178860.8	MSC
ENSG00000280721.1	LINC01943
ENSG00000139278.8	GLIPR1
ENSG00000015285.9	WAS
ENSG00000102359.5	SRPX2
ENSG00000143851.14	PTPN7
ENSG00000070190.11	DAPP1
ENSG00000136167.12	LCP1
